"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:29 CET 2022","8203","chromium","Dropdown.spec.ts","Dropdown","","","Dropdown checking",""
"passed","Sat Dec 24 15:19:27 CET 2022","Sat Dec 24 15:19:32 CET 2022","4277","webkit","Dropdown.spec.ts","Dropdown","","","Dropdown checking",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:28 CET 2022","7981","webkit","Authorizations.spec.ts","Authorizations","","","Invalid authorization",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:25 CET 2022","4856","chromium","Checkbox.spec.ts","Checkbox","","","Checkbox checking",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:28 CET 2022","7215","chromium","Frame.spec.ts","Frame","","","Get text from Frame",""
"passed","Sat Dec 24 15:19:32 CET 2022","Sat Dec 24 15:19:35 CET 2022","3240","Mobile Safari","Dropdown.spec.ts","Dropdown","","","Dropdown checking",""
"passed","Sat Dec 24 15:19:33 CET 2022","Sat Dec 24 15:19:37 CET 2022","3639","Mobile Safari","Frame.spec.ts","Frame","","","Get text from Frame",""
"passed","Sat Dec 24 15:19:30 CET 2022","Sat Dec 24 15:19:36 CET 2022","5568","Mobile Safari","Authorizations.spec.ts","Authorizations","","","Invalid authorization",""
"passed","Sat Dec 24 15:19:29 CET 2022","Sat Dec 24 15:19:36 CET 2022","7544","webkit","Dynamic_Controls.spec.ts","Dynamic Controls","","","CheckBox Removing",""
"passed","Sat Dec 24 15:19:29 CET 2022","Sat Dec 24 15:19:34 CET 2022","4997","webkit","Frame.spec.ts","Frame","","","Get text from Frame",""
"passed","Sat Dec 24 15:19:31 CET 2022","Sat Dec 24 15:19:35 CET 2022","3843","Mobile Safari","Checkbox.spec.ts","Checkbox","","","Checkbox checking",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:29 CET 2022","8519","chromium","Dynamic_Controls.spec.ts","Dynamic Controls","","","CheckBox Removing",""
"passed","Sat Dec 24 15:19:30 CET 2022","Sat Dec 24 15:19:36 CET 2022","6357","Mobile Safari","Authorizations.spec.ts","Authorizations","","","Valid authorization",""
"passed","Sat Dec 24 15:19:33 CET 2022","Sat Dec 24 15:19:40 CET 2022","7615","Mobile Safari","Dynamic_Controls.spec.ts","Dynamic Controls","","","CheckBox Removing",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:27 CET 2022","6847","chromium","Authorizations.spec.ts","Authorizations","","","Valid authorization",""
"passed","Sat Dec 24 15:19:26 CET 2022","Sat Dec 24 15:19:31 CET 2022","4602","webkit","Checkbox.spec.ts","Checkbox","","","Checkbox checking",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:26 CET 2022","5404","chromium","Authorizations.spec.ts","Authorizations","","","Invalid authorization",""
"passed","Sat Dec 24 15:19:20 CET 2022","Sat Dec 24 15:19:32 CET 2022","11474","webkit","Authorizations.spec.ts","Authorizations","","","Valid authorization",""
